bytes_hex,tid,comment
6164,312,'ad'
6972,313,'ir'
676874,314,'ght'
6964,315,'id'
20686572,316,' her'
6574,317,'et'
20736865,318,' she'
6f6d,319,'om'
2065,320,' e'
6163,321,'ac'
20776173,322,' was'
7574,323,'ut'
7269,324,'ri'
696d,325,'im'
697468,326,'ith'
7374,327,'st'
6179,328,'ay'
6c65,329,'le'
616d,330,'am'
207368,331,' sh'
206974,332,' it'
2053,333,' S'
6f74,334,'ot'
206265,335,' be'
207265,336,' re'
2074686579,337,' they'
2049,338,' I'
2077697468,339,' with'
616c,340,'al'
6c79,341,'ly'
6963,342,'ic'
2072,343,' r'
6f6f,344,'oo'
766572,345,'ver'
686572,346,'her'
2048,347,' H'
6b6564,348,'ked'
206c69,349,' li'
6b65,350,'ke'
2074686174,351,' that'
7665,352,'ve'
207361,353,' sa'
656c74,354,'elt'
2066656c74,355,' felt'
206f6e,356,' on'
206a,357,' j'
6f756e64,358,'ound'
2054686579,359,' They'
696c6c,360,'ill'
20686973,361,' his'
6f756c64,362,'ould'
2075,363,' u'
204865,364,' He'
2041,365,' A'
20627574,366,' but'
616c6c,367,'all'
656e74,368,'ent'
20686164,369,' had'
6f7574,370,'out'
206173,371,' as'
20536865,372,' She'
20666f72,373,' for'
617274,374,'art'
686564,375,'hed'
696e64,376,'ind'
656172,377,'ear'
6167,378,'ag'
2079,379,' y'
757265,380,'ure'
7572,381,'ur'
207370,382,' sp'
7070,383,'pp'
206b,384,' k'
20736d,385,' sm'
6f79,386,'oy'
6e65,387,'ne'
207468656972,388,' their'
207768,389,' wh'
6f73,390,'os'
616e74,391,'ant'
207765,392,' we'
20796f75,393,' you'
696c,394,'il'
656e64,395,'end'
206c61,396,' la'
6563,397,'ec'
756e,398,'un'
206c6f,399,' lo'
204c,400,' L'
20706c,401,' pl'
206e6f74,402,' not'
757374,403,'ust'
2073616964,404,' said'
2068696d,405,' him'
7269656e64,406,'riend'
20776f72,407,' wor'
20747265,408,' tre'
6f7265,409,'ore'
206861,410,' ha'
20667269656e64,411,' friend'
61696e,412,'ain'
65726564,413,'ered'
206865617274,414,' heart'
696465,415,'ide'
617264,416,'ard'
20636c,417,' cl'
6f6e65,418,'one'
6565,419,'ee'
69676874,420,'ight'
206665,421,' fe'
6e6564,422,'ned'
6c6f77,423,'low'
204974,424,' It'
206368,425,' ch'
20616c,426,' al'
6674,427,'ft'
206e65,428,' ne'
61726b,429,'ark'
2057,430,' W'
6f70,431,'op'
726f75,432,'rou'
20616e,433,' an'
20646179,434,' day'
206c6175,435,' lau'
2076,436,' v'
20636f756c64,437,' could'
6365,438,'ce'
616368,439,'ach'
204d,440,' M'
7261,441,'ra'
20666f756e64,442,' found'
676574,443,'get'
6368,444,'ch'
657273,445,'ers'
72656174,446,'reat'
76657279,447,'very'
6f6e67,448,'ong'
656d,449,'em'
206162,450,' ab'
726f6d,451,'rom'
6967,452,'ig'
2073746f72,453,' stor'
69726c,454,'irl'
206c696b65,455,' like'
6961,456,'ia'
206174,457,' at'
676574686572,458,'gether'
207468656d,459,' them'
206c6f6f,460,' loo'
20736f,461,' so'
427574,462,'But'
6f6d65,463,'ome'
206973,464,' is'
7265616d,465,'ream'
696573,466,'ies'
616e67,467,'ang'
6966,468,'if'
206578,469,' ex'
6f6f64,470,'ood'
7269676874,471,'right'
6f75676874,472,'ought'
766564,473,'ved'
7573,474,'us'
206769726c,475,' girl'
207472,476,' tr'
20667269656e6473,477,' friends'
20636f,478,' co'
657373,479,'ess'
206172,480,' ar'
206665656c,481,' feel'
616365,482,'ace'
20726f,483,' ro'
61636b,484,'ack'
20647265616d,485,' dream'
61726564,486,'ared'
746f,487,'to'
657374,488,'est'
6b696e67,489,'king'
64656e,490,'den'
2066696c6c,491,' fill'
2074686f75676874,492,' thought'
2045,493,' E'
2077657265,494,' were'
2077616e74,495,' want'
2061626f7574,496,' about'
2063616e,497,' can'
207570,498,' up'
206a6f79,499,' joy'
756c,500,'ul'
20646f,501,' do'
617374,502,'ast'
20627269676874,503,' bright'
20696e746f,504,' into'
20737472,505,' str'
68696e67,506,'hing'
20626f79,507,' boy'
6c70,508,'lp'
20427574,509,' But'
2073746172,510,' star'
616d65,511,'ame'
6e6f77,512,'now'
206c65,513,' le'
6e646572,514,'nder'
206d61,515,' ma'
20736d696c,516,' smil'
2068656c70,517,' help'
686174,518,'hat'
20776174,519,' wat'
20776f756c64,520,' would'
75656c,521,'uel'
206361,522,' ca'
206c69676874,523,' light'
656f,524,'eo'
6f7572,525,'our'
2066696c6c6564,526,' filled'
776179,527,'way'
206576657279,528,' every'
20746f676574686572,529,' together'
206772,530,' gr'
206261636b,531,' back'
2066696e64,532,' find'
696365,533,'ice'
204c656f,534,' Leo'
2054,535,' T'
206c6f6f6b6564,536,' looked'
204d6961,537,' Mia'
207265616c,538,' real'
6c6564,539,'led'
2066726f6d,540,' from'
68656e,541,'hen'
20746f6f,542,' too'
616465,543,'ade'
696f6e,544,'ion'
73696465,545,'side'
206f7574,546,' out'
20736565,547,' see'
636b,548,'ck'
206579,549,' ey'
4173,550,'As'
6173757265,551,'asure'
206a757374,552,' just'
697374,553,'ist'
207472656173757265,554,' treasure'
4f6e65,555,'One'
206f6c64,556,' old'
756c6c,557,'ull'
7564,558,'ud'
20736b,559,' sk'
697a,560,'iz'
20736d616c6c,561,' small'
74686572,562,'ther'
2065796573,563,' eyes'
20776973,564,' wis'
2064616e,565,' dan'
706c,566,'pl'
206167,567,' ag'
20736177,568,' saw'
6176,569,'av'
20736d696c6564,570,' smiled'
206f74686572,571,' other'
2074686973,572,' this'
616d6564,573,'amed'
20616c6c,574,' all'
206f6e65,575,' one'
726f756768,576,'rough'
206665656c696e67,577,' feeling'
20626567,578,' beg'
61676963,579,'agic'
2061736b6564,580,' asked'
206272,581,' br'
206d616465,582,' made'
2068617070,583,' happ'
2073756e,584,' sun'
6c6578,585,'lex'
70706564,586,'pped'
20666c6f77,587,' flow'
6f7365,588,'ose'
206d61676963,589,' magic'
206c656172,590,' lear'
6f7573,591,'ous'
20747572,592,' tur'
206d65,593,' me'
207468726f756768,594,' through'
20496e,595,' In'
206164,596,' ad'
2072656d,597,' rem'
2061726f756e64,598,' around'
20776f726c64,599,' world'
206e616d6564,600,' named'
206372656174,601,' creat'
2077616e746564,602,' wanted'
6f6d6574,603,'omet'
20416c6578,604,' Alex'
206c6f7374,605,' lost'
20706c6179,606,' play'
204b,607,' K'
696d65,608,'ime'
7175,609,'qu'
696c79,610,'ily'
616e6765,611,'ange'
20666c,612,' fl'
6665,613,'fe'
206e6f,614,' no'
746572,615,'ter'
204a,616,' J'
776e,617,'wn'
6970,618,'ip'
20626567616e,619,' began'
656e6564,620,'ened'
2073746f72696573,621,' stories'
206e69676874,622,' night'
20626967,623,' big'
20676f,624,' go'
20736b79,625,' sky'
207265616c697a,626,' realiz'
2057697468,627,' With'
206d616e,628,' man'
207374617273,629,' stars'
20646563,630,' dec'
204b696d,631,' Kim'
206b6e6f77,632,' know'
206279,633,' by'
63686564,634,'ched'
20686f70,635,' hop'
756d,636,'um'
746564,637,'ted'
207377,638,' sw'
206461726b,639,' dark'
656570,640,'eep'
2074696d65,641,' time'
616765,642,'age'
696c65,643,'ile'
616d75656c,644,'amuel'
6473,645,'ds'
20756e646572,646,' under'
6570,647,'ep'
6f776e,648,'own'
76656e74,649,'vent'
20736f6d6574,650,' somet'
6c6f72,651,'lor'
76656e,652,'ven'
68657265,653,'here'
6768746572,654,'ghter'
756464656e,655,'udden'
20657863,656,' exc'
206372,657,' cr'
20776172,658,' war'
20647265616d73,659,' dreams'
616e64,660,'and'
596f75,661,'You'
6f6f6b,662,'ook'
57686174,663,'What'
2065616368,664,' each'
206c6561726e6564,665,' learned'
697479,666,'ity'
2053616d75656c,667,' Samuel'
207461,668,' ta'
756464656e6c79,669,'uddenly'
2064616e63,670,' danc'
20636f6c6f72,671,' color'
20697473,672,' its'
2077686f,673,' who'
206966,674,' if'
746c65,675,'tle'
76656e74757265,676,'venture'
2077696c6c,677,' will'
6f6e64,678,'ond'
66756c,679,'ful'
20736861726564,680,' shared'
656c6c,681,'ell'
2064656570,682,' deep'
6174686572,683,'ather'
7468,684,'th'
20616476656e74757265,685,' adventure'
20616972,686,' air'
206c6f7665,687,' love'
204173,688,' As'
206c61756768746572,689,' laughter'
206e6577,690,' new'
72656e,691,'ren'
69646564,692,'ided'
20636865,693,' che'
696c64,694,'ild'
207265616c697a6564,695,' realized'
206d6f6d,696,' mom'
616c6b6564,697,'alked'
67686564,698,'ghed'
206c617567686564,699,' laughed'
206769,700,' gi'
20616761696e,701,' again'
206d6f7265,702,' more'
736564,703,'sed'
697370,704,'isp'
206d79,705,' my'
656d62,706,'emb'
6e657373,707,'ness'
20736861,708,' sha'
206d6f6d656e74,709,' moment'
2064656369646564,710,' decided'
20666f,711,' fo'
69636b,712,'ick'
207761726d,713,' warm'
207768697370,714,' whisp'
61646f77,715,'adow'
656c66,716,'elf'
20737061726b,717,' spark'
6e6577,718,'new'
20736f6d657468696e67,719,' something'
206d6f,720,' mo'
207175,721,' qu'
20636f6e,722,' con'
204f6e65,723,' One'
696e6773,724,'ings'
726574,725,'ret'
207363,726,' sc'
20686964,727,' hid'
7565,728,'ue'
20617265,729,' are'
207065,730,' pe'
207365,731,' se'
617574,732,'aut'
206f70,733,' op'
206b6e6577,734,' knew'
20736f6674,735,' soft'
207368696e,736,' shin'
20616d,737,' am'
20746f6f6b,738,' took'
726f,739,'ro'
20626c,740,' bl'
69746564,741,'ited'
2066756e,742,' fun'
2064616e636564,743,' danced'
206576656e,744,' even'
2074726565,745,' tree'
20666f7265,746,' fore'
6f706c65,747,'ople'
20756e,748,' un'
20646f776e,749,' down'
20686f6d65,750,' home'
207761,751,' wa'
206265617574,752,' beaut'
20636c6f73,753,' clos'
7365,754,'se'
2052,755,' R'
206b65,756,' ke'
2072656d656d62,757,' rememb'
496e,758,'In'
617264656e,759,'arden'
726577,760,'rew'
2077686174,761,' what'
2077616c6b6564,762,' walked'
2067617264656e,763,' garden'
2061776179,764,' away'
6163686564,765,'ached'
20736861646f77,766,' shadow'
206578706c,767,' expl'
6f6b65,768,'oke'
686973,769,'his'
2072656164,770,' read'
20676c6f77,771,' glow'
206f766572,772,' over'
206c6974,773,' lit'
2045616368,774,' Each'
20627261,775,' bra'
20736164,776,' sad'
6765,777,'ge'
20686f7065,778,' hope'
6965,779,'ie'
2062656c,780,' bel'
20666c6f77657273,781,' flowers'
73656c66,782,'self'
2076696c6c,783,' vill'
2073686f77,784,' show'
207768657265,785,' where'
207475726e6564,786,' turned'
6f696e,787,'oin'
57697468,788,'With'
20737572,789,' sur'
72696564,790,'ried'
20686f77,791,' how'
7074,792,'pt'
6f74686572,793,'other'
2068616e64,794,' hand'
207468616e,795,' than'
2077696e64,796,' wind'
20737472616e6765,797,' strange'
20776179,798,' way'
61636564,799,'aced'
2066656172,800,' fear'
617468,801,'ath'
206c6574,802,' let'
6e696e67,803,'ning'
697461,804,'ita'
696e6b,805,'ink'
20646964,806,' did'
206275,807,' bu'
74696e67,808,'ting'
20766f,809,' vo'
2073746f6f64,810,' stood'
2073686f7574,811,' shout'
20736174,812,' sat'
2068696464656e,813,' hidden'
20736563,814,' sec'
20546f,815,' To'
20617070,816,' app'
207477,817,' tw'
20696e73696465,818,' inside'
2068617665,819,' have'
20626f,820,' bo'
20706c616e,821,' plan'
66746572,822,'fter'
2052697461,823,' Rita'
616c6c79,824,'ally'
206d6170,825,' map'
20736563726574,826,' secret'
6172696e67,827,'aring'
20626563,828,' bec'
2066756c6c,829,' full'
747572,830,'tur'
207468656e,831,' then'
2073686f75746564,832,' shouted'
207061696e,833,' pain'
706564,834,'ped'
20616c69,835,' ali'
20706c616365,836,' place'
207761746572,837,' water'
206861707079,838,' happy'
686970,839,'hip'
20656e,840,' en'
207374726f6e67,841,' strong'
207468657265,842,' there'
206c6f766564,843,' loved'
757269,844,'uri'
207265747572,845,' retur'
6d6564,846,'med'
6262,847,'bb'
207772,848,' wr'
77617973,849,'ways'
206b6e6f77696e67,850,' knowing'
2063616d65,851,' came'
2070656f706c65,852,' people'
617465,853,'ate'
206272617665,854,' brave'
20746f6c64,855,' told'
20636f6c6f7273,856,' colors'
206e656564,857,' need'
2073746f7279,858,' story'
204c696c79,859,' Lily'
20616c77617973,860,' always'
206c6974746c65,861,' little'
2050,862,' P'
206c616e64,863,' land'
20766f696365,864,' voice'
20666f72657374,865,' forest'
6272,866,'br'
20736574,867,' set'
697368,868,'ish'
20737465,869,' ste'
206f7468657273,870,' others'
206d616b65,871,' make'
206669,872,' fi'
207768656e,873,' when'
207472656573,874,' trees'
20696d,875,' im'
7567,876,'ug'
636f,877,'co'
206b696e64,878,' kind'
206f776e,879,' own'
207368617265,880,' share'
206c696665,881,' life'
207269,882,' ri'
2065766572796f6e65,883,' everyone'
726565,884,'ree'
697365,885,'ise'
206e6f77,886,' now'
20676174686572,887,' gather'
2063697479,888,' city'
2072656163686564,889,' reached'
206372656174757265,890,' creature'
20776869737065726564,891,' whispered'
206c6f6e67,892,' long'
6f7564,893,'oud'
2068617264,894,' hard'
69736564,895,'ised'
2077617463686564,896,' watched'
20646f6f72,897,' door'
2062656175746966,898,' beautif'
20616c6f6e65,899,' alone'
656c79,900,'ely'
2046,901,' F'
646564,902,'ded'
61766573,903,'aves'
65746572,904,'eter'
20626972,905,' bir'
626c65,906,'ble'
2043,907,' C'
6374,908,'ct'
617373,909,'ass'
206f70656e6564,910,' opened'
2062656175746966756c,911,' beautiful'
20686f,912,' ho'
2068656c64,913,' held'
20646973,914,' dis'
20736861646f7773,915,' shadows'
206c697374,916,' list'
6c696365,917,'lice'
20796f7572,918,' your'
6c696e67,919,'ling'
6c6c6f77,920,'llow'
5765,921,'We'
20756e6465727374,922,' underst'
20626f74,923,' bot'
6c6577,924,'lew'
206c61756768,925,' laugh'
616b,926,'ak'
207465,927,' te'
206368696c64,928,' child'
697465,929,'ite'
7279,930,'ry'
6d616e,931,'man'
206d757374,932,' must'
2076696c6c616765,933,' village'
2063617665,934,' cave'
61726961,935,'aria'
696564,936,'ied'
61746564,937,'ated'
656e6365,938,'ence'
65616e,939,'ean'
656d6f72,940,'emor'
686573,941,'hes'
2074616c6c,942,' tall'
20726f636b,943,' rock'
6f7373,944,'oss'
2072656d656d6265726564,945,' remembered'
2073746f6e65,946,' stone'
20706f77,947,' pow'
20636f6d,948,' com'
2063616c6c,949,' call'
206272656174,950,' breat'
206472,951,' dr'
20667269656e6473686970,952,' friendship'
20546f676574686572,953,' Together'
6368696e67,954,'ching'
206865617264,955,' heard'
20706963,956,' pic'
2053756464656e6c79,957,' Suddenly'
20416c696365,958,' Alice'
7665726564,959,'vered'
2072616e,960,' ran'
2070726f6d,961,' prom'
2074616c,962,' tal'
204d61726961,963,' Maria'
207265616479,964,' ready'
696574,965,'iet'
2074727565,966,' true'
69636564,967,'iced'
20626574,968,' bet'
726573,969,'res'
7072,970,'pr'
20616e79,971,' any'
20736d696c65,972,' smile'
206772656174,973,' great'
656d656e74,974,'ement'
206d656d6f72,975,' memor'
207265706c,976,' repl'
204a6f7365,977,' Jose'
206e6f64,978,' nod'
7572696f7573,979,'urious'
20706f776572,980,' power'
206661,981,' fa'
2073686172696e67,982,' sharing'
2070617468,983,' path'
656e61,984,'ena'
206c656164,985,' lead'
20726f6f6d,986,' room'
2073656172,987,' sear'
206f6666,988,' off'
2067726577,989,' grew'
206a6f696e,990,' join'
206769616e74,991,' giant'
20626f6f6b,992,' book'
696e616c6c79,993,'inally'
2070617274,994,' part'
5768656e,995,'When'
20627265617468,996,' breath'
69616c,997,'ial'
77617264,998,'ward'
20736f6d65,999,' some'
204a65616e,1000,' Jean'
2073746f726d,1001,' storm'
6174696f6e,1002,'ation'
20706c61796564,1003,' played'
20736e6f77,1004,' snow'
20676f6c64,1005,' gold'
206e6f64646564,1006,' nodded'
206f72,1007,' or'
54686973,1008,'This'
2073746570706564,1009,' stepped'
20677261,1010,' gra'
2063686565726564,1011,' cheered'
20636f6d65,1012,' come'
6e67,1013,'ng'
20626563616d65,1014,' became'
20666c79,1015,' fly'
20626f7468,1016,' both'
2066616d,1017,' fam'
6f6f6e,1018,'oon'
206e65766572,1019,' never'
204c656e61,1020,' Lena'
20656d,1021,' em'
206578636974,1022,' excit'
207375727072,1023,' surpr'
726f7564,1024,'roud'
6f7665,1025,'ove'
20666f6c6c6f77,1026,' follow'
2073706f6b65,1027,' spoke'
6f756e,1028,'oun'
696768,1029,'igh'
2073706563,1030,' spec'
20656e64,1031,' end'
4c6574,1032,'Let'
5768,1033,'Wh'
2070726f7564,1034,' proud'
206775,1035,' gu'
207370656369616c,1036,' special'
207072,1037,' pr'
207374617274,1038,' start'
20796f756e67,1039,' young'
53756464656e6c79,1040,'Suddenly'
20747261,1041,' tra'
696d62,1042,'imb'
207768696c65,1043,' while'
2062657374,1044,' best'
206e6f7469636564,1045,' noticed'
206f6e6c79,1046,' only'
6c6573,1047,'les'
616e6b,1048,'ank'
206761746865726564,1049,' gathered'
207265706c696564,1050,' replied'
74656e,1051,'ten'
2070756c6c,1052,' pull'
6d6d616e,1053,'mman'
6d6d616e75656c,1054,'mmanuel'
76696e67,1055,'ving'
206578636974656d656e74,1056,' excitement'
20746f776e,1057,' town'
207261696e,1058,' rain'
6f6d616e,1059,'oman'
2062656c6965,1060,' belie'
20776f726473,1061,' words'
20736f756e64,1062,' sound'
20776f6d616e,1063,' woman'
20776f6e64,1064,' wond'
6f756473,1065,'ouds'
20636c696d62,1066,' climb'
2067726f77,1067,' grow'
207761726d7468,1068,' warmth'
2066616365,1069,' face'
206578706c6f7265,1070,' explore'
696e657373,1071,'iness'
68696e64,1072,'hind'
20776f,1073,' wo'
617a,1074,'az'
20636f7572,1075,' cour'
2066697368,1076,' fish'
20666c6577,1077,' flew'
6572696e67,1078,'ering'
7874,1079,'xt'
2070617374,1080,' past'
2067726f756e64,1081,' ground'
7468696e67,1082,'thing'
2072657475726e6564,1083,' returned'
20636c6f736572,1084,' closer'
2077697368,1085,' wish'
207573,1086,' us'
63686f,1087,'cho'
20456d6d616e75656c,1088,' Emmanuel'
696d6d,1089,'imm'
61636573,1090,'aces'
6e79,1091,'ny'
2068656176,1092,' heav'
20646973636f,1093,' disco'
656374,1094,'ect'
696e79,1095,'iny'
2073746570,1096,' step'
20626568696e64,1097,' behind'
616e6365,1098,'ance'
20486973,1099,' His'
20636c6f756473,1100,' clouds'
20676c,1101,' gl'
206d616e79,1102,' many'
20737061726b6c6564,1103,' sparkled'
20736f66746c79,1104,' softly'
696d6573,1105,'imes'
6561726564,1106,'eared'
206272696e67,1107,' bring'
20636172,1108,' car'
20636c65,1109,' cle'
2073686970,1110,' ship'
207365656d6564,1111,' seemed'
2062697264,1112,' bird'
2074656c6c,1113,' tell'
207269766572,1114,' river'
756767,1115,'ugg'
666f7265,1116,'fore'
20666972,1117,' fir'
20686561727473,1118,' hearts'
207374696c6c,1119,' still'
206563686f,1120,' echo'
20486572,1121,' Her'
6f6f6c,1122,'ool'
626f74,1123,'bot'
757368,1124,'ush'
61676f6e,1125,'agon'
2065786369746564,1126,' excited'
205768656e,1127,' When'
206d6574,1128,' met'
696e6564,1129,'ined'
2063617265,1130,' care'
2074616b65,1131,' take'
72656564,1132,'reed'
206368616e6765,1133,' change'
2074696e79,1134,' tiny'
20726f626f74,1135,' robot'
20647261676f6e,1136,' dragon'
206a6f7572,1137,' jour'
20666c6f776572,1138,' flower'
6974696e67,1139,'iting'
6170,1140,'ap'
6265,1141,'be'
7573686564,1142,'ushed'
2066616d696c79,1143,' family'
54686579,1144,'They'
736f,1145,'so'
616c73,1146,'als'
20416e,1147,' An'
206c697374656e6564,1148,' listened'
20666c6f,1149,' flo'
2066656c6c,1150,' fell'
2063616c6c6564,1151,' called'
656164,1152,'ead'
20696d6167,1153,' imag'
206865617679,1154,' heavy'
20636174,1155,' cat'
204576657279,1156,' Every'
6e6579,1157,'ney'
206a756d,1158,' jum'
207261636564,1159,' raced'
206265696e67,1160,' being'
20776f726b6564,1161,' worked'
206a6f75726e6579,1162,' journey'
207175696574,1163,' quiet'
206d696e64,1164,' mind'
20646966,1165,' dif'
2061626f7665,1166,' above'
666572656e,1167,'feren'
20776f726b,1168,' work'
206e657874,1169,' next'
20646966666572656e,1170,' differen'
206f6e6365,1171,' once'
206669727374,1172,' first'
207261,1173,' ra'
696e65,1174,'ine'
69726974,1175,'irit'
20616c736f,1176,' also'
2070726f6d69736564,1177,' promised'
206c6f6f6b696e67,1178,' looking'
2077697365,1179,' wise'
7370,1180,'sp'
20636f7572616765,1181,' courage'
206d656d6f72696573,1182,' memories'
20626f78,1183,' box'
6f7274,1184,'ort'
617665,1185,'ave'
206170706561726564,1186,' appeared'
2067656e74,1187,' gent'
20616c697665,1188,' alive'
20737069726974,1189,' spirit'
2072656d696e64,1190,' remind'
766573,1191,'ves'
206d61676963616c,1192,' magical'
6f6d6564,1193,'omed'
206e656172,1194,' near'
20696e76,1195,' inv'
2073656372657473,1196,' secrets'
206265666f7265,1197,' before'
726f75676874,1198,'rought'
20776f6e646572,1199,' wonder'
7374656164,1200,'stead'
2068696d73656c66,1201,' himself'
207468696e6773,1202,' things'
206163,1203,' ac'
206b696e67,1204,' king'
2062726f75676874,1205,' brought'
206c6f7564,1206,' loud'
